x,y,token
31.446829,-45.304195,[
-37.153385,-51.418427,Emma
-57.356754,5.9145713,by
-38.755898,-50.66579,Jane
31.36291,-45.269886,]
9.709908,-35.337074,I
31.679829,-45.29876,CHAPTER
-39.155994,-50.38873,Woodhouse
-57.478134,4.7471595,","
-11.552483,-44.505257,handsome
-11.467494,-45.130413,clever
-57.205975,5.273337,and
24.613867,10.511354,rich
-57.14292,5.4706964,with
-42.49824,-2.7837455,a
-13.57016,-54.291454,comfortable
-38.63181,-36.41904,home
-0.206982,-39.869873,happy
-19.202967,-47.774925,disposition
-45.80634,13.502795,seemed
-56.956223,5.0637245,to
-9.231511,-29.623722,unite
-23.036205,1.4664716,some
-57.297115,5.621341,of
-57.295586,5.3931484,the
3.6403,-30.731289,best
36.30748,5.287783,blessings
-18.807516,-42.686245,existence
-57.4556,4.710643,;
-40.61599,-3.5415504,had
10.659758,17.798376,lived
-34.593227,-30.863604,nearly
26.237297,51.634846,twenty
-33.977745,43.547813,-
-30.147158,2.9697895,one
27.136648,50.8834,years
-57.305126,5.769508,in
18.690224,-3.4499762,world
2.1410267,-39.18266,very
-49.290085,-0.66906685,little
-20.585978,-56.417854,distress
-17.892778,2.25232,or
33.262146,-5.997177,vex
-51.221207,-25.598724,her
-57.08984,4.6385517,.
-51.195293,-25.67443,She
-40.582447,-3.4824407,was
49.73801,23.860752,youngest
25.26401,53.26106,two
53.98408,32.15981,daughters
-18.93784,-12.578417,most
-24.030985,-48.037178,affectionate
-10.57056,-36.51021,indulgent
59.957916,16.378113,father
-21.420376,-54.001663,consequence
59.980976,16.327028,sister
17.262829,-32.018856,'
-4.992952,-10.415498,s
-23.280407,-45.15649,marriage
-31.18582,-37.33955,been
-45.577705,-31.217613,mistress
-45.935734,-2.6409795,his
42.50461,26.18087,house
-57.422115,5.939932,from
-44.38375,-38.53397,early
-33.66031,-31.58795,period
-25.390657,-47.74069,Her
59.976177,16.327656,mother
55.23057,24.748974,died
2.1252346,-39.268738,too
-29.645052,11.230733,long
9.609524,18.92099,ago
-43.792393,-2.8818083,for
-40.678036,-3.5832562,have
-28.572876,1.7006867,more
-28.552593,1.6424149,than
-42.276886,-2.9180999,an
28.051083,-4.6852665,remembrance
-24.739393,-20.69318,caresses
36.527683,32.417458,place
-29.49896,-39.416832,supplied
-12.361812,-44.1973,excellent
31.122723,15.215388,woman
-42.657913,-1.2384603,as
-2.7271109,-44.36128,governess
-41.39324,-5.0331845,who
17.7139,14.029551,fallen
-36.793148,-20.578947,short
-19.329172,-52.404045,affection
7.08545,19.79845,Sixteen
-39.011005,-50.505154,Miss
-2.7036908,-44.276566,Taylor
-47.898846,-21.7072,Mr
50.412952,24.166584,family
-20.170809,-38.903778,less
-3.1493878,-44.24742,friend
-10.873476,-45.518017,fond
10.233489,2.145237,both
-43.601273,-2.7781537,but
-13.870713,-53.36676,particularly
-3.546736,2.7489643,Between
-43.13576,-2.4621897,it
-23.368492,-51.356678,intimacy
-4.00286,-31.696453,sisters
50.936504,0.0930622,Even
-42.64835,0.9630086,before
-33.818947,-28.954042,ceased
20.874836,-14.655659,hold
47.7194,22.60086,office
-32.224228,-20.806501,mildness
-18.508808,-47.58066,temper
-8.623709,-47.755253,hardly
-10.504123,-55.99529,allowed
-1.3169695,-36.073524,impose
4.860781,-40.040173,any
-6.9499545,-52.35424,restraint
3.4937425,36.83371,shadow
-4.7165456,-39.14429,authority
-12.138899,-23.431,being
-41.738842,0.28007624,now
-55.939896,10.03527,passed
-54.128628,22.865696,away
-45.250095,-1.8062761,they
16.674547,34.548943,living
36.910503,27.200363,together
-22.600554,-19.411974,mutually
-13.201385,-45.487495,attached
3.613441,-35.601536,doing
-48.38897,-0.7069916,just
13.395609,-32.08866,what
-51.21383,-25.617182,she
1.4148644,-40.651493,liked
-12.898737,-44.506844,highly
37.08941,3.1335878,judgment
-10.609144,-23.365051,directed
-26.018955,-31.614424,chiefly
-14.404909,-30.925947,own
-43.022427,-4.4975567,The
-15.704933,-39.82666,real
-25.762093,-45.09935,evils
0.035133906,-44.051617,indeed
-17.153933,-51.606052,situation
-39.972023,-2.9917548,were
25.078892,-3.861962,power
-12.152337,-23.442116,having
-36.761112,-12.750212,rather
0.86889166,-38.48556,much
-1.6554706,-17.878838,way
9.09617,-43.937332,think
0.63477373,-38.440517,well
-51.19998,-25.665148,herself
-11.231619,-9.680837,these
-43.04657,-2.522535,which
-32.80435,-29.55195,threatened
-23.448568,-35.399776,alloy
10.956811,14.101827,many
-16.666174,-31.542702,enjoyments
-15.0211,-56.787876,danger
-11.113533,-46.917007,however
-44.147636,-3.1963124,at
-26.821737,-41.094856,present
-42.652634,-1.2298678,so
-16.87946,-21.056292,unperceived
-43.120743,-2.5088913,that
12.748255,-49.88501,did
8.261207,-33.26168,not
-6.8275976,-39.844585,means
-22.83439,-15.449889,rank
-15.116,-30.79749,misfortunes
27.01193,-17.134756,Sorrow
-54.118176,17.08738,came
-40.24753,12.350755,--
11.335357,-6.741549,gentle
25.556602,4.0402417,sorrow
-57.285683,5.505244,all
-20.530209,23.787678,shape
-5.7332816,-50.931797,disagreeable
-26.703594,-52.696674,consciousness
3.5301533,-44.745388,.--
-2.7778282,-44.23283,married
9.933975,-21.984808,It
-14.717103,-43.996784,loss
-32.17137,-13.869488,first
40.15621,22.470037,brought
25.421812,4.461331,grief
-56.951298,6.539031,on
-34.53813,-33.821827,wedding
-48.401844,-29.61718,day
-42.978333,-2.500108,this
29.049618,-4.2177505,beloved
-51.712353,20.533924,sat
-4.5609913,25.71472,mournful
2.6303017,-38.113087,thought
-18.128069,-49.88846,continuance
-39.102184,24.130707,over
28.72504,16.00675,bride
34.9988,21.153421,people
17.52407,13.230284,gone
-38.665462,7.9945874,left
-37.424423,-39.25199,dine
0.5727721,-36.27887,no
-24.760271,-40.406643,prospect
56.000324,41.16314,third
19.545382,-9.62141,cheer
-44.40569,-38.512375,evening
-37.032337,-25.488789,composed
-46.118885,-2.4730334,himself
15.314378,11.689444,sleep
-46.27241,1.1426716,after
-46.27876,-36.825836,dinner
-30.237906,-51.068153,usual
-41.76518,0.30827993,then
-4.671159,-14.971315,only
46.886436,-8.200468,sit
7.075849,-24.714233,lost
-25.069443,-54.35044,event
16.323082,9.431338,every
1.9792703,-54.047276,promise
-19.31271,-51.06992,happiness
-40.10268,-49.728203,Weston
-35.156555,-11.332346,man
-20.415855,-44.488094,unexceptionable
-19.419537,-47.656178,character
-1.2156311,-39.205585,easy
-21.458368,-44.581867,fortune
-20.30968,-44.491734,suitable
-3.2344153,-27.843554,age
17.308453,8.33512,pleasant
-19.329502,-48.010834,manners
-48.799164,6.688287,there
-25.111168,-52.4239,satisfaction
-14.55079,-41.995106,considering
-19.56116,-39.767773,self
-17.453423,-50.23798,denying
-13.575209,-44.642197,generous
-20.430014,-51.43531,friendship
3.78464,-37.95847,always
-11.773735,-52.306774,wished
-13.845854,-36.011898,promoted
-2.2081695,-46.362743,match
-28.322126,46.30985,black
-44.403645,-38.51667,morning
12.189548,23.224749,work
10.414641,-43.824696,want
12.73772,-49.749386,would
6.6013465,-33.74152,be
-35.50151,-27.166712,felt
-9.417284,-23.785162,hour
-27.515644,-29.479645,recalled
12.5563345,-8.135738,past
-22.572004,-52.882103,kindness
26.19016,50.91749,sixteen
13.574852,-31.96133,how
41.338394,12.501159,taught
-34.064045,-25.686245,played
25.93805,52.162346,five
-36.75738,14.613258,old
-13.0009775,-36.362846,devoted
-17.097174,-38.315144,powers
-10.757811,-52.77493,attach
-7.8397393,-40.605133,amuse
-22.08943,-43.42279,health
-15.844983,-33.44381,nursed
-28.874758,34.655926,through
-15.743791,-12.208714,various
-25.750616,-27.968094,childhood
10.776496,-21.899744,A
-35.462597,10.259148,large
-16.87208,-33.635887,debt
-24.080532,-52.400333,gratitude
-21.071285,-39.97495,owing
16.586464,-34.39202,here
-24.655514,-42.001625,intercourse
-32.214657,-13.839816,last
25.451378,51.776855,seven
-18.573956,-48.664093,equal
-24.40605,-40.681652,footing
26.68716,-4.379943,perfect
-23.819387,-46.426853,unreserve
0.13805626,-41.01019,soon
38.642735,24.115635,followed
-37.08911,-45.59086,Isabella
-24.003454,24.511013,their
-29.951271,3.0016692,each
-30.089983,3.028688,other
9.670828,-13.766712,yet
-4.5549874,-40.20099,dearer
-29.48995,-53.04572,recollection
-37.19114,-25.868584,companion
-11.869444,-15.6155,such
-42.36603,-25.307919,few
35.77355,21.498222,possessed
44.391598,1.3274399,:
-13.001692,-42.83115,intelligent
-32.680668,-42.859512,informed
-16.154129,-51.185093,useful
-7.178689,-46.271545,knowing
28.915913,-2.3815553,ways
-14.49074,-51.541397,interested
-19.287659,31.970512,its
-22.86851,-45.150238,concerns
-21.313787,-46.53498,peculiarly
-22.636774,-56.002007,pleasure
